id,column,annotation
7421923208376405266.mp4_scene_3,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be very dark and blurry, making it difficult to discern any clear subject or focus. There are no visible subjects or background elements that can be identified with certainty."
7421923208376405266.mp4_scene_6,shot_scale_vlm_1b_09_tuple,"('Empty', 'Motivation: The frame shows a natural outdoor setting with rocks and leaves, but there is no discernible subject or focus within this shot.)"
7421923208376405266.mp4_scene_6,shot_scale_vlm_1c_09_tuple,"(Uncertain, Motivation: The image appears to be focused on a rusted metal object and some natural surroundings, but it's not clear if there is a discernible subject or focus within the frame.)"
7421923208376405266.mp4_scene_8,shot_scale_vlm_1a_09_tuple,"('Wide shot', 'The subject (the weapons) takes up a significant portion of the frame with the background showing the setting and environment, but not dominating it as much as in a full shot.)"
7421923208376405266.mp4_scene_9,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be an aerial view of a landscape with text overlaid on it. It does not show any discernible subject or focus within the frame, making it difficult to classify as one of the shot scales provided."
7417541679802060050.mp4_scene_2,shot_scale_vlm_1c_09_tuple,"(Uncertain, Motivation: The image shows a landscape with houses and hills, but it is unclear if there is a discernible subject or focus within the frame. The text overlay suggests a context that might be relevant to the video content, but does not provide enough visual information to classify the shot scale.)"
7417541679802060050.mp4_scene_4,shot_scale_vlm_1c_09_tuple,"('Medium full shot', 'The subject is framed from the knees up and occupies most of the frame, with the background showing a landscape and buildings.)"
7417541679802060050.mp4_scene_5,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be a close-up view with a focus on the text and some blurred background details. However, it's challenging to determine the exact shot scale due to the lack of clear visual elements and context provided by the image."
7417541679802060050.mp4_scene_6,shot_scale_vlm_1c_09_tuple,"(Uncertain, Motivation: The image shows a building and some text overlaying it, but it's unclear if there is a clear subject or focus within the frame due to the limited information provided.)"
7417541679802060050.mp4_scene_7,shot_scale_vlm_1c_09_tuple,"(Uncertain, Motivation: The image appears to be a close-up shot with a blurred background, making it difficult to determine the exact shot scale.)"
7417541679802060050.mp4_scene_12,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be an empty shot with no discernible subject or focus. However, the presence of text and a partially visible sky suggests that there might be some elements in the frame that could provide context for a classification. Without more visual information, it is difficult to determine the exact shot scale."
7417541679802060050.mp4_scene_13,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be an aerial view with no discernible subject or focus, showing only the setting or environment. However, the text overlay and the lack of a clear subject make it difficult to classify the shot scale accurately."
7417541679802060050.mp4_scene_16,shot_scale_vlm_1b_09_tuple,"('Empty', 'Motivation: The frame shows a night sky with bright lights and text overlay, but no discernible subject or focus within the visible area.)"
7417541679802060050.mp4_scene_17,shot_scale_vlm_1a_04_tuple,"('Wide shot', 'The frame shows multiple people and a large fire with significant background details like trees and buildings, indicating that the subject (people) is seen in full but not as prominently as they would be in a close-up.)"
7417541679802060050.mp4_scene_18,shot_scale_vlm_1c_04_tuple,"('Wide shot', 'The subject (the landscape) is fully visible with significant background prominence, showing a wide view including the road sign and distant smoke.)"
7417541679802060050.mp4_scene_18,shot_scale_vlm_1c_09_tuple,"('Medium full shot', 'The subject is framed from the knees up and occupies most of the frame, with the background showing a road sign and distant smoke.)"
7414538490660048135.mp4_scene_12,shot_scale_vlm_1b_09_tuple,"('Empty', 'Motivation: The frame shows a debris-filled area with no clear subject or focal point, focusing instead on the environment and setting.)"
7414538490660048135.mp4_scene_14,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be taken from a video with a focus on the environment and setting rather than a specific subject. However, without more context or visual elements that clearly define the shot scale, it is difficult to accurately classify this still image."
7413374980831874312.mp4_scene_4,shot_scale_vlm_1c_09_tuple,"('Medium close up', 'The subject is framed from the head up and takes up most of the frame, with the background showing a wall with cartoon characters and text.)"
7413374980831874312.mp4_scene_6,shot_scale_vlm_1c_09_tuple,"('Medium close up', 'The soldier is framed from the head up to the shoulders and takes up most of the frame, with the background showing a damaged building and graffiti.)"
7413374980831874312.mp4_scene_11,shot_scale_vlm_1c_09_tuple,"('Medium close up', 'The subject occupies most of the frame from head to shoulders, with the background showing a corridor and a person in the distance, indicating a medium close-up shot.)"
7413374980831874312.mp4_scene_12,shot_scale_vlm_1a_09_tuple,"('Uncertain', 'The image appears to be taken inside a tunnel with a person walking away from the camera. The background is somewhat dark and indistinct, making it difficult to determine the scale of the shot accurately. There are no clear visual elements that would definitively classify this as a wide shot, full shot, medium full shot, medium shot, medium close up, or close up.)"
7413374980831874312.mp4_scene_12,shot_scale_vlm_1c_09_tuple,"('Medium full shot', 'The subject is framed from the knees up and occupies most of the frame, with the tunnel walls providing context but not dominating the background.)"
7413374980831874312.mp4_scene_14,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be taken from a narrow perspective, potentially a close-up or medium close-up, but it's difficult to determine the exact shot scale without more context or a wider view."
7413374980831874312.mp4_scene_15,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be taken in a narrow space with various objects scattered around, but it's difficult to determine the exact shot scale without more context or visual cues such as framing and focus."
7413374980831874312.mp4_scene_16,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be taken from a narrow corridor with some debris on the ground and wooden walls. It's difficult to determine the exact shot scale without more context or visual information about the subject matter."
7413374980831874312.mp4_scene_17,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be an empty frame with no discernible subject or focus. However, there are some objects and a caption that suggest a setting or environment. Without more context or visual elements, it is difficult to classify the shot scale accurately."
7405981980120075540.mp4_scene_4,shot_scale_vlm_1a_09_tuple,"('Empty', 'Motivation': The image is an aerial view of a school compound with no discernible subject or focus within the frame.)"
7405981980120075540.mp4_scene_4,shot_scale_vlm_1b_09_tuple,"('Empty', 'Motivation': The image appears to be an aerial view of a school compound with no discernible subject or focus within the frame.)"
7405981980120075540.mp4_scene_4,shot_scale_vlm_1c_09_tuple,"(Uncertain, Motivation) - The image appears to be an aerial view of a school compound with buildings and surrounding areas visible. It does not show any specific subject or focus within the frame, making it difficult to classify as a traditional shot scale."
7405981980120075540.mp4_scene_5,shot_scale_vlm_1b_09_tuple,"('Empty', 'Motivation: The image appears to be an aerial view of a cityscape with no discernible subject or focus, showing only the setting and environment.)"
7405981980120075540.mp4_scene_5,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be an aerial view of a cityscape with various buildings and streets visible. It does not show any specific subject or focus within the frame, making it difficult to classify as a traditional shot scale."
7405981980120075540.mp4_scene_6,shot_scale_vlm_1b_09_tuple,"('Empty', 'Motivation: The image appears to be an aerial view of a cityscape with no discernible subject or focus, showing only the setting and environment.)"
7405981980120075540.mp4_scene_6,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be an aerial view of a school with text overlaying it, but there are no discernible subjects or focus points within the frame. Therefore, it is difficult to classify the shot scale accurately without more context or visual elements."
7404838712183508231.mp4_scene_1,shot_scale_vlm_1c_09_tuple,"('Medium full shot', 'The subject is framed from the knees up and takes up most of the frame, with the background showing a tank and the environment.)"
7404838712183508231.mp4_scene_2,shot_scale_vlm_1c_09_tuple,"('Medium full shot', 'The subject is framed from the knees up and takes up most of the frame, with the background showing a tank and the sky.)"
7404838712183508231.mp4_scene_4,shot_scale_vlm_1a_09_tuple,"('Medium full shot', 'The subject is framed from the knees up and takes up most of the frame, with the background showing part of the tank and the sky.)"
7404838712183508231.mp4_scene_4,shot_scale_vlm_1c_09_tuple,"('Medium full shot', 'The subject is framed from the knees up and takes up most of the frame, with the background showing a tank and sky.)"
7400840806661197077.mp4_scene_4,shot_scale_vlm_1c_09_tuple,"(Uncertain, Motivation: The image appears to be a wide shot with the subject (missiles) taking up a significant portion of the frame, but it's difficult to determine if the background is more prominent than in a full shot due to the night setting and lack of visible subjects.)"
7400840806661197077.mp4_scene_9,shot_scale_vlm_1c_09_tuple,"('Medium close up', 'The subject is framed from the head up and takes up most of the frame, with a clear focus on the rocket launch and surrounding landscape.)"
7400840806661197077.mp4_scene_12,shot_scale_vlm_1b_09_tuple,"('Empty', 'Motivation: The frame shows only the night sky with lights and text overlaying it, with no discernible subject or focus within the shot.)"
7400840806661197077.mp4_scene_12,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be a close-up shot with a focus on text and a small portion of the sky. However, without more context or visual elements, it's difficult to determine the exact shot scale."
7397447925460241671.mp4_scene_4,shot_scale_vlm_1c_09_tuple,"('Medium full shot', 'The subject is framed from the knees up and occupies most of the frame, with the background showing a group of people and a landscape.)"
7397447925460241671.mp4_scene_6,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be an aerial view of clouds with text overlaying it. It does not have a clear subject or focus and shows only the setting or environment. However, without more context or visual elements, it is difficult to determine if this is an empty shot or if there is any other content that could classify it as a different shot scale."
7397447925460241671.mp4_scene_9,shot_scale_vlm_1c_09_tuple,"('Wide shot', 'The subject (a car) is visible in full with the background dominating the frame, indicating a wide shot.)"
7397447925460241671.mp4_scene_12,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be an empty shot with no discernible subject or focus, showing only the setting and environment. However, there are some blurred figures in the background that could potentially be subjects, making it difficult to classify the shot scale accurately."
7397447925460241671.mp4_scene_15,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be a medium shot as it captures the subjects from the waist up and includes some background details. However, the presence of text overlay makes it difficult to determine the exact shot scale with certainty."
7396409314396687632.mp4_scene_2,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be very dark and lacks any discernible subject or focus, making it difficult to classify with certainty."
7390029779774229781.mp4_scene_4,shot_scale_vlm_1b_09_tuple,"('Empty', 'Motivation: The frame shows an outdoor setting with various objects and plants, but there is no discernible subject or focus within the shot.)"
7386685007823162642.mp4_scene_2,shot_scale_vlm_1c_09_tuple,"(Uncertain, Motivation: The image appears to be taken from inside a vehicle with a view of the outside environment through the windshield. It shows part of the interior and some external elements, but it's not clear if there is a discernible subject or focus within the frame.)"
7367077964921572625.mp4_scene_3,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be completely black with no discernible subject or focus, making it difficult to classify as any specific shot scale."
7365531535774207248.mp4_scene_4,shot_scale_vlm_1c_09_tuple,"('Medium full shot', 'The subject is framed from the knees up and takes up most of the frame, with the background showing a street scene and vehicles.)"
7365531535774207248.mp4_scene_6,shot_scale_vlm_1c_09_tuple,"('Medium close up', 'The flag occupies most of the frame and is the main focus, with text overlaid at the bottom.)"
7365531535774207248.mp4_scene_12,shot_scale_vlm_1c_09_tuple,"('Medium full shot', 'The subject (tank) takes up most of the frame from the knees up, with the background showing other tanks and a flag.)"
7365531535774207248.mp4_scene_14,shot_scale_vlm_1c_09_tuple,"('Medium full shot', 'The subject (a military vehicle) takes up most of the frame from the knees up, with the background showing a cloudy sky and part of the vehicle's side.)"
7360386332880948481.mp4_scene_2,shot_scale_vlm_1c_09_tuple,"('Wide shot', 'The subject (the tank) is visible in full with the background dominating the frame, indicating a wide shot.)"
7360386332880948481.mp4_scene_3,shot_scale_vlm_1c_09_tuple,"('Medium full shot', 'The subject is framed from the knees up and takes up most of the frame, with the background showing a person standing in front of a large tank-like object and a building in the distance.)"
7360386332880948481.mp4_scene_6,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image is completely black with no discernible subject or focus, making it difficult to classify as any specific shot scale."
7358551328412486928.mp4_scene_2,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be a wide shot with the subject (a large cylindrical object) taking up most of the frame. However, without more context or visual cues about the subject's size and position relative to the surroundings, it is difficult to confidently classify the shot scale."
7352976654261652753.mp4_scene_1,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be very dark and lacks clear visual elements that would allow for a confident classification into one of the specified shot scales. The silhouette of a person is visible, but due to the low light conditions, it is difficult to determine the exact scale or context of the shot."
7352976654261652753.mp4_scene_5,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be very dark and lacks any discernible subject or focus, making it difficult to classify with certainty. However, given the lack of visible content, it could potentially be classified as an ""Empty"" shot."
7349653141559741704.mp4_scene_7,shot_scale_vlm_1c_09_tuple,"('Medium close up', 'The image shows two individuals from the waist up, with their faces and upper bodies taking up most of the frame, indicating a medium close-up shot.)"
7349653141559741704.mp4_scene_9,shot_scale_vlm_1c_04_tuple,"('Medium full shot', 'The subjects are framed from the knees up and fully visible, with their upper bodies taking a significant portion of the frame but not dominating it as much as a close-up would.')

This classification is based on the fact that both individuals in the image are fully visible from the knees up, which aligns with the definition of a medium full shot. The subjects' upper bodies take up a considerable amount of space within the frame without being so dominant as to classify them as a close-up or full shot."
7349653141559741704.mp4_scene_14,shot_scale_vlm_1b_09_tuple,"('uncertain', 'The image contains multiple shots with varying scales, making it difficult to provide a single classification that encompasses all shots.)"
7347367797426736386.mp4_scene_4,shot_scale_vlm_1c_09_tuple,"(Uncertain, Motivation: The image appears to be a wide shot with the subject (the airplane) visible in full and the background dominating the frame. However, the text overlay makes it difficult to determine the exact shot scale.)"
7347367797426736386.mp4_scene_5,shot_scale_vlm_1c_09_tuple,"(Uncertain, Motivation: The image appears to be a sequence of frames from a video, showing a car and a missile launch in a desert setting. The shot scale seems to change between wide shots and medium full shots, but it is difficult to determine the exact scale due to the motion blur and lack of clear visual elements.)"
7347367797426736386.mp4_scene_6,shot_scale_vlm_1a_09_tuple,"('Wide shot', 'The subject (the truck and its contents) occupies a significant portion of the frame, with the background (building and surroundings) providing context but not overwhelming the main focus.)"
7347367797426736386.mp4_scene_6,shot_scale_vlm_1c_09_tuple,"('Medium full shot', 'The subject (a military vehicle) takes up most of the frame from the knees up, with the background showing a building and some text overlay.)"
7347367797426736386.mp4_scene_12,shot_scale_vlm_1b_09_tuple,"('Empty', 'Motivation: The frame shows only the setting and environment without any discernible subject or focus.)"
7347367797426736386.mp4_scene_12,shot_scale_vlm_1c_09_tuple,"('Medium close up', 'The image shows a close-up view of a drone with details such as its body and wheels visible, indicating that it is a medium close-up shot.)"
7347367797426736386.mp4_scene_15,shot_scale_vlm_1b_09_tuple,"('Empty', 'Motivation: The image appears to be an aerial view of a landscape with no discernible subject or focus, showing only the environment and terrain. There are no people, objects, or specific locations that can be identified within this frame.)"
7347367797426736386.mp4_scene_15,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The provided image appears to be an aerial view with no discernible subject or focus, showing only the setting or environment. However, without more context or visual elements, it's difficult to confidently classify the shot scale."
7347367797426736386.mp4_scene_16,shot_scale_vlm_1a_09_tuple,"('Empty', 'Motivation: The frame contains no discernible subject or focus, only text and a background pattern.)"
7347367797426736386.mp4_scene_16,shot_scale_vlm_1b_09_tuple,"('Empty', 'Motivation: The frame contains no discernible subject or focus, only the number ""1"" and text on a blue grid background.)"
7347367797426736386.mp4_scene_17,shot_scale_vlm_1a_09_tuple,"('Uncertain', 'Motivation: The image appears to be a close-up shot with text overlaying it, but without any clear subject or focus within the frame.)"
7347367797426736386.mp4_scene_17,shot_scale_vlm_1b_09_tuple,"('Empty', 'Motivation: The frame contains no discernible subject or focus, showing only text and lines on a blue background.)"
7347367797426736386.mp4_scene_17,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be an animated graphic with text overlaying it, making it difficult to determine a specific shot scale as there are no discernible subjects or background elements present."
7347367797426736386.mp4_scene_21,shot_scale_vlm_1b_09_tuple,"('Empty', 'Motivation: The image shows an empty frame with no discernible subject or focus, only the desert setting and environment are visible.)"
7347367797426736386.mp4_scene_21,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be a collage of three different shots, but it's unclear which specific shot scale applies as the information provided does not allow for a clear classification."
7347367797426736386.mp4_scene_22,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be a medium shot as it shows a subject (likely a vehicle) from the waist up with some background details visible. However, the presence of text overlay and the fact that the subject is partially obscured by smoke or dust make it difficult to confidently classify the shot scale."
7347367797426736386.mp4_scene_23,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be a medium close-up shot as it shows a subject (the target board) from the head up and takes up most of the frame. However, without more context or additional frames, it is difficult to determine the exact shot scale."
7347367797426736386.mp4_scene_24,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The provided image does not clearly show any subject or focus, making it difficult to classify its shot scale with certainty. However, based on the visible elements, it appears to be an empty shot as there is no discernible subject or background details present."
7347367797426736386.mp4_scene_25,shot_scale_vlm_1a_09_tuple,"('Uncertain', 'Motivation: The image appears to be a close-up shot with a large number ""2"" dominating the frame. However, without additional context or subjects, it is difficult to determine if this is a close-up, medium close up, or even a full shot.)"
7347367797426736386.mp4_scene_25,shot_scale_vlm_1b_09_tuple,"('Empty', 'Motivation: The frame shows only the number ""2"" on a blue grid background with no other discernible subject or focus.)"
7347367797426736386.mp4_scene_27,shot_scale_vlm_1c_09_tuple,"('Empty', 'The image shows a blue grid pattern with the word ""ACOURACY"" repeated three times, but no discernible subject or focus within the frame. The background and setting are the only elements present, making it an empty shot.)"
7347367797426736386.mp4_scene_30,shot_scale_vlm_1b_09_tuple,"('WS', 'The first frame shows a wide shot with the background dominating the scene, while the second and third frames focus on specific subjects within the environment, but still maintain a wide perspective.)"
7347367797426736386.mp4_scene_30,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The provided image appears to be a collage of multiple frames from a video, making it difficult to determine the shot scale with certainty. However, based on the visible elements in each frame, it seems that the shots are likely medium close-ups or close-ups, as they focus on specific subjects within the environment."
7347367797426736386.mp4_scene_31,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The provided image appears to be a screenshot from a video, but it does not provide enough information to confidently determine the shot scale. There are no clear subjects or focal points in the image, and the text overlay makes it difficult to assess the background or setting."
7347367797426736386.mp4_scene_32,shot_scale_vlm_1b_09_tuple,"('Empty', 'Motivation: The image appears to be a screenshot from a video, but it does not show any discernible subject or focus within the frame. It only shows a patterned surface with no clear background or environment details.)"
7347367797426736386.mp4_scene_32,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be a screenshot from a video, but it is unclear whether there is a discernible subject or focus within the frame. The background seems to dominate the scene, making it difficult to classify the shot scale with certainty."
7347367797426736386.mp4_scene_37,shot_scale_vlm_1c_04_tuple,"('Wide shot', 'The image shows rockets being fired into the sky with a clear view of their trajectory and the surrounding environment, indicating that the subject (the rockets) is fully visible within the frame but the background dominates more than in a full shot.')

This classification is based on the fact that the rockets are clearly visible and dominate the foreground, while the background elements such as the sky and clouds provide context. The rockets themselves are not the only focus of the image; they are part of a larger scene with significant environmental detail."
7347367797426736386.mp4_scene_37,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be a sequence of three frames showing a sky with trails from rockets being fired. It's difficult to determine the exact shot scale without more context or visual information about the subjects in the frame."
7347367797426736386.mp4_scene_38,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be a collage of three different shots, each with varying levels of detail and focus. The first shot shows a wide view of a cityscape at night, which could be classified as a wide shot due to the expansive background. The second shot focuses on a specific area within the cityscape, potentially a medium full shot or medium shot depending on the framing. The third shot is more zoomed in and captures a close-up detail, possibly a close up or medium close up. Without further context or a single coherent frame, it's challenging to provide a definitive classification."
7347367797426736386.mp4_scene_41,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The provided image appears to be a series of still images from a video, showing explosions and smoke. However, without more context or a single frame for analysis, it is difficult to determine the exact shot scale."
7347367797426736386.mp4_scene_43,shot_scale_vlm_1c_09_tuple,"(Uncertain, Motivation: The image appears to be a series of frames from a video, showing an object moving across a snowy landscape. It is difficult to determine the exact shot scale without more context or visual information.)"
7347367797426736386.mp4_scene_47,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be a close-up shot due to the presence of text overlay and the limited visible area. However, without more context or additional frames, it's challenging to determine the exact shot scale."
7347367797426736386.mp4_scene_48,shot_scale_vlm_1b_09_tuple,"('Empty', 'Motivation: The frame shows an outdoor setting with no discernible subject or focus, only the environment and some objects like a pipe and a tent are visible.)"
7347367797426736386.mp4_scene_48,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be a wide shot with the subject (a person) partially visible and the background dominating the frame. However, due to the limited information provided and the angle at which the subject is captured, it is difficult to determine the exact shot scale."
7345833350906563841.mp4_scene_5,shot_scale_vlm_1c_09_tuple,"('Medium full shot', 'The subject is framed from the knees up, with the soldiers' upper bodies and heads visible within the frame, indicating a medium full shot.)"
7343946884572105985.mp4_scene_1,shot_scale_vlm_1c_09_tuple,"('Medium close up', 'The subject is framed from the head up and takes up most of the frame, with the background showing part of a helicopter and some surrounding environment.)"
7343946884572105985.mp4_scene_5,shot_scale_vlm_1c_09_tuple,"('Medium close up', 'The subject takes up most of the frame from head to shoulders, with a clear focus on their face and upper body, indicating a medium close-up shot.)"
7341387991081864449.mp4_scene_1,shot_scale_vlm_1c_09_tuple,"('Medium full shot', 'The subject is framed from the knees up, with the soldiers and helicopter prominently visible in the frame, while the background includes the sunset and landscape.)"
7341387991081864449.mp4_scene_2,shot_scale_vlm_1c_09_tuple,"('Medium full shot', 'The subject (person) is framed from the knees up and takes up a significant portion of the frame, with the background including the helicopter and sunset.)"
7341387991081864449.mp4_scene_4,shot_scale_vlm_1c_09_tuple,"('Medium full shot', 'The subject (soldiers) is framed from the knees up, with the background including a helicopter and sunset.)"
7341387991081864449.mp4_scene_15,shot_scale_vlm_1c_09_tuple,"('Medium full shot', 'The subject is framed from the knees up and occupies a significant portion of the frame, with the background showing a group of people and some blue smoke.)"
7340346344940358913.mp4_scene_2,shot_scale_vlm_1b_09_tuple,"('uncertain', 'The image appears to be a close-up shot with multiple subjects, making it difficult to determine the exact scale without more context or clearer focus.)"
7340346344940358913.mp4_scene_2,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be a close-up shot with a blurred background, making it difficult to determine the exact shot scale. However, given the limited information and the presence of multiple subjects in the frame, it is likely a medium shot or close-up."
7340346344940358913.mp4_scene_14,shot_scale_vlm_1a_09_tuple,"('Full shot', 'The subject (person pushing the stretcher) and the background are both clearly visible, with the person taking up most of the frame from head to toe, indicating a full shot rather than a medium shot or closer.)"
7340346344940358913.mp4_scene_19,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The provided image appears to be from a video with multiple subjects moving through an environment that has some backlighting. However, due to the motion blur and lack of clear focus on any single subject or object, it is difficult to accurately classify the shot scale."
7332905549010308354.mp4_scene_2,shot_scale_vlm_1c_09_tuple,"('Medium full shot', 'The subject is framed from the knees up and takes up most of the frame, with a group of soldiers walking on a dirt path in the foreground and a cloudy sky in the background.)"
7332905549010308354.mp4_scene_5,shot_scale_vlm_1b_09_tuple,"('Medium Shot', 'The subject is framed from the waist up and takes up most of the frame, with the background showing a group of people and trees, indicating that the shot focuses on the subjects while still including some context.)"
7332472351809899778.mp4_scene_8,shot_scale_vlm_1a_09_tuple,"('Uncertain', 'Motivation: The image appears to be taken from inside a vehicle, possibly a boat, with the sea and horizon visible. It is difficult to determine if there is a subject within the frame due to the limited view and lack of clear focus on any particular element.)"
7331799655585516802.mp4_scene_7,shot_scale_vlm_1c_09_tuple,"('Medium close up', 'The subject takes up most of the frame from head to shoulders, with a clear focus on the person's face and upper body, indicating a close-up shot.)"
7331799655585516802.mp4_scene_14,shot_scale_vlm_1b_09_tuple,"('Empty', 'Motivation: The image is completely black with no discernible subject or focus, only showing the text and background elements.)"
7331799655585516802.mp4_scene_21,shot_scale_vlm_1a_09_tuple,"('Uncertain', 'Motivation: The image appears to be a text-based graphic with no discernible subject or focus, making it difficult to classify as a shot scale based on the given definitions.)"
7331799655585516802.mp4_scene_21,shot_scale_vlm_1b_09_tuple,"('Empty', 'Motivation': The image is completely black with no discernible subject or focus, only text and logos are present.)"
